正在執行最佳組合回測以生成報表...

====================================================================================================
  一、 詳細交易流水帳 (按日期排序)
====================================================================================================
    日期      代號   方向    股數      價格      變動金額      實現盈虧  
20250612    4979     買入         86    186.50         16,039           0
20250612    3163     買入         88    183.00         16,104           0
20250612    2357     買入         23    675.00         15,525           0
20250612    2360     買入         44    359.00         15,796           0
20250612    3706     買入        255     63.00         16,065           0
20250612    6446     買入         29    554.00         16,066           0
20250612    3030     買入        119    134.50         16,006           0
20250612    5269     買入          8   2010.00         16,080           0
20250612    6257     買入        202     79.60         16,079           0
20250613    9958     賣出         96    236.50         22,704       3,477
20250613    6944     賣出         27    444.13         11,991        -339
20250613    2344     賣出        321     18.53          5,947        -193
20250613    5439     賣出         28    209.53          5,867        -190
20250613    4979     賣出         86    180.91         15,558        -504
20250613    3030     賣出        119    130.47         15,526        -503
20250613    5269     賣出          8   1949.72         15,598        -505
20250613    3324     買入         13    694.00          9,022           0
20250613    6640     買入         17    550.00          9,350           0
20250613    4164     買入        191     49.20          9,397           0
20250613    3081     買入         29    322.00          9,338           0
20250613    2421     買入         87    107.50          9,352           0
20250613    2208     買入        525     17.90          9,398           0
20250613    8028     買入         62    149.50          9,269           0
20250613    1519     買入         18    512.00          9,216           0
20250613    3044     買入         42    220.00          9,240           0
20250613    4147     買入        105     88.80          9,324           0
20250616    6472     賣出        241    804.14        193,797      -6,277
20250616    8210     賣出         56    421.00         23,576       4,509
20250616    2731     賣出         35    165.40          5,789        -188
20250616    6442     賣出         86    490.00         42,140       3,815
20250616    8038     賣出        422     35.85         15,129       1,627
20250616    6446     賣出         29    537.39         15,584        -505
20250616    6257     賣出        202     79.20         15,998        -104
20250616    2421     賣出         87    104.27          9,072        -294
20250616    8028     賣出         62    145.01          8,991        -291
20250616    1519     賣出         18    528.00          9,504         275
20250616    3665     買入         45    739.00         33,255           0
20250616    6944     買入         78    431.00         33,618           0
20250616    2301     買入        315    107.50         33,862           0
20250616    3231     買入        286    118.50         33,891           0
20250616    3264     買入        428     79.10         33,855           0
20250616    7642     買入        287    118.00         33,866           0
20250616    2504     買入        735     46.10         33,884           0
20250616    2890     買入      1,412     24.00         33,888           0
20250616    6669     買入         13   2550.00         33,150           0
20250616    8054     買入        334    101.50         33,901           0
20250617    6944     賣出         78    444.13         34,642         976
20250617    3081     賣出         29    312.33          9,058        -293
20250617    2504     賣出        735     45.45         33,406        -526
20250617    4979     買入         41    189.50          7,770           0
20250617    3005     買入         60    128.50          7,710           0
20250617    6257     買入         98     79.50          7,791           0
20250617    5434     買入         28    277.50          7,770           0
20250617    1519     買入         14    533.00          7,462           0
20250617    4991     買入         75    104.00          7,800           0
20250617    3592     買入         21    368.00          7,728           0
20250617    5475     買入        317     24.60          7,798           0
20250617    5474     買入         46    169.50          7,797           0
20250617    5243     買入        137     57.00          7,809           0
20250618    2408     賣出        385     59.10         22,754       3,438
20250618    2368     賣出         97    267.72         25,969        -841
20250618    6919     賣出          5    292.50          1,462         212
20250618    2345     賣出          3    737.16          2,211         -12
20250618    3013     賣出         26    135.00          3,510         529
20250618    8996     賣出         23    268.31          6,171          44
20250618    2383     賣出          7    848.79          5,942        -192
20250618    3324     賣出         13    673.19          8,752        -283
20250618    3030     買入         57    135.00          7,695           0
20250618    3583     買入         23    329.00          7,567           0
20250618    2812     買入        359     21.40          7,683           0
20250618    3324     買入         11    680.00          7,480           0
20250618    3036     買入        229     33.62          7,700           0
20250618    2481     買入        147     52.40          7,703           0
20250618    2308     買入         19    395.00          7,505           0
